artist_name,avg_pop,avg_comment,process_pop,process_comment
Aioz,100,26696,87.40175568,82.00250811
Capper,100,62611.66667,92.20259358,88.86084797
DJ阿布,100,16071.33333,84.54370244,77.91957491
DJ阿智,100,2790.88,74.68406115,63.83437307
ET,100,39628,89.62647793,85.18068276
GAI周延,100,7553.333333,80.29135283,71.84478976
Gareth.T,100,12230.66667,83.00568525,75.7224075
Happer,100,24479.33333,86.91355786,81.30508266
Ice Paper,100,122301.3333,95.97334962,94.24764231
LBI利比,100,41223.64286,89.84880254,85.49828934
Lil Ghost小鬼,100,78160.66667,93.45183112,90.64547304
Lunak,100,3662.666667,76.21500375,66.02143392
TC,100,33865,88.74140414,83.91629163
THOME,100,13502,83.56263071,76.51804387
TINY7,70.2,1796.88,63.26431032,60.29187189
TizzyT,100,38700,89.49302272,84.99003245
Wiz_H张子豪,82.8,12845.58,78.12194826,76.11706895
Zy,100,20241,85.84282839,79.77546912
en（王翊恩）,100,10895.33333,82.35457157,74.7922451
h3R3,98.5,34457.96,88.38916251,84.05594644
mac ova seas,100,16688.33333,84.75587115,78.22267307
step.jad依加,100,13449,83.54048009,76.48640013
亞細亞曠世奇才,88.80952381,721.2619048,63.70634975,52.94784658
余佳运,98.6,17289.04,84.53503119,78.50718741
刘思达LOFTHESTAR,100,34063.33333,88.7742916,83.96327371
加木,99,3384.18,75.4696346,65.38519229
华晨宇,100,126862.7,96.17957516,94.54225023
卢广仲,100,55047.66667,91.47747539,87.82496485
古巨基,100,37301,89.28565948,84.69379926
周传雄,97.7,10631.8,81.5266744,74.59524915
周兴哲,100,171812.3333,97.88771326,96.98244752
周杰伦,100,27886,87.64736828,82.35338325
周柏豪,100,45641.66667,90.42218034,86.31740048
周深,100,46308.28,90.50384128,86.43405898
姜云升,100,87944.33333,94.11604236,91.59434623
宝石Gem,100,88792.33333,94.17008753,91.67155361
就是南方凯,91.71052632,6478,76.93958087,70.60917568
张信哲,100,16255.66667,84.6079309,78.01132985
张学友,100,21622.20588,86.21459286,80.30656123
张杰,100,23935.66,86.78706655,81.12438079
张紫豪,93.33333333,234324.6667,97.63531643,99.47902347
张远,100,646.6666667,66.44865133,52.0695019
张震岳,100,60601,92.01876731,88.59823901
徐秉龙,100,183621.3333,98.26208127,97.51725896
徐良,96.1,11911.28,81.68666197,75.5095171
摩登兄弟刘宇宁,99.16666667,52608.26667,90.9722031,87.46029014
方大同,100,34163.56,88.79083833,83.98691191
曾舜晞,100,34385.66667,88.8273343,84.039049
李健,100,35419.33333,88.99413967,84.27734238
李克勤,100,62111.66667,92.15743826,88.79634037
李宗盛,100,30627,88.17539869,83.10771241
李荣浩,100,87130.19231,94.06366253,91.5195179
杜宣达,100,104871.3333,95.10742518,93.01060741
杨和苏KeyNG,100,36042.66667,89.09239146,84.41770209
杨坤,100,15417.33333,84.30972702,77.58532432
杨宗纬,100,96004.66667,94.60991851,92.29988359
林俊杰,100,66632.44,92.55312205,89.36160293
林达浪,98.33333333,192345,98.02348535,97.89069335
梁博,100,19384.21053,85.59924115,79.42748736
毛不易,100,89420.46,94.20978789,91.72826841
江辰,100,57827.33333,91.75491411,88.22130587
汪苏泷,100,47275.14,90.62021755,86.60031079
沈以诚,100,217172.3333,99.20720019,98.86742885
沙一汀EL,100,37475,89.31186979,84.73124255
法老,100,19438.64,85.61503294,79.45004705
海洋Bo,100,118592.6667,95.79992513,93.99989305
渡,100,19672.66667,85.68243179,79.54633113
潘玮柏,100,52652.66667,91.22695426,87.46707751
王以太,100,39409,89.59526755,85.1360965
王力宏,100,16843.62,84.80803417,78.29719167
王安宇,98.33333333,7251,79.56129244,71.51613206
王杰,100,34667.33333,88.87327944,84.10468492
王源,100,4386.666667,77.230874,67.47267715
王赫野,100,7285.3,80.08787063,71.5541009
罗言,96.9,14141.56,82.89327554,76.89039363
胡彦斌,98.7,11045.12,82.0414702,74.90210029
艾志恒Asen,100,8407.88,80.89498121,72.70711602
葛东琪,100,277543.6667,100,100
蔡徐坤,97,28744.62,86.91816017,82.59737167
薛之谦,100,152694.62,97.22335945,96.03337064
许嵩,100,220325.3333,99.28837851,98.98339787
许巍,100,113773,95.56626123,93.66608747
贝乐虎,100,616.88,66.18307132,51.69010188
赵雷,100,53368.92,91.30305051,87.57578644
邵帅,100,140301.6667,96.74664734,95.35235334
郑润泽,100,81482.52,93.68624162,90.98034517
郭顶,100,1317610.333,100,100
队长,97.1,47887.88,89.82274432,86.70392045
阿冗,100,248086.3333,99.9567239,99.938177
陆虎,100,42782,90.05777673,85.7968239
陈奕迅,100,88074.4,94.12436559,91.60623655
陈小春,100,54741.33333,91.4460471,87.78006728
陈楚生,100,7795.16,80.46883662,72.09833802
陶喆,100,19348.64,85.58889699,79.41270998
韦礼安,100,89076,94.18805116,91.69721595
颜人中,100,44731.94,90.30879203,86.15541718
马思唯,100,11369.06,82.5942709,75.13467271
高旭,100,68490,92.70797769,89.58282527
鹿晗,100,98488,94.75374527,92.50535038
黄子弘凡,98.7,30598.58,87.78017021,83.10024315
